x	y	f(x,y)
4.48276 -5.71429 936.33647
5.17241 -5.71429 993.07647
5.86207 -5.71429 1107.44029
6.55172 -5.71429 1232.16104
7.24138 -5.71429 1311.75664
7.93103 -5.71429 1309.65977
8.62069 -5.71429 1226.09880
9.31034 -5.71429 1097.98607
10.00000 -5.71429 980.86834
-10.00000 -4.28571 -788.69306
-9.31034 -4.28571 -740.81860
-8.62069 -4.28571 -716.82617
-7.93103 -4.28571 -661.16902
-7.24138 -4.28571 -536.93479
-6.55172 -4.28571 -343.89514
-5.86207 -4.28571 -118.61736
-5.17241 -4.28571 83.41645
-4.48276 -4.28571 214.93939
-3.79310 -4.28571 260.01259
-3.10345 -4.28571 241.81908
-2.41379 -4.28571 211.32761
-1.72414 -4.28571 222.36969
-1.03448 -4.28571 305.31672
-0.34483 -4.28571 452.22880
0.34483 -4.28571 620.73726
1.03448 -4.28571 754.76230
1.72414 -4.28571 811.93526
2.41379 -4.28571 784.31623
3.10345 -4.28571 702.27663
3.79310 -4.28571 619.64793
4.48276 -4.28571 587.39892
5.17241 -4.28571 628.71262
5.86207 -4.28571 727.65015
6.55172 -4.28571 836.94461
7.24138 -4.28571 901.11391
7.93103 -4.28571 883.59075
8.62069 -4.28571 784.60348
9.31034 -4.28571 641.06446
10.00000 -4.28571 508.52043
-10.00000 -2.85714 -866.55432
-9.31034 -2.85714 -834.10616
-8.62069 -2.85714 -825.54002
-7.93103 -2.85714 -785.30916
-7.24138 -2.85714 -676.50123
-6.55172 -2.85714 -498.88787
-5.86207 -2.85714 -289.03639
-5.17241 -2.85714 -102.42888
-4.48276 -2.85714 13.66777
-3.79310 -2.85714 43.31468
-3.10345 -2.85714 9.69487
-2.41379 -2.85714 -36.22289
-1.72414 -2.85714 -40.60711
-1.03448 -2.85714 26.91362
-0.34483 -2.85714 158.39941
0.34483 -2.85714 311.48157
1.03448 -2.85714 430.08032
1.72414 -2.85714 471.82698
2.41379 -2.85714 428.78166
3.10345 -2.85714 331.31576
3.79310 -2.85714 233.26077
4.48276 -2.85714 185.58546
5.17241 -2.85714 211.47287
5.86207 -2.85714 294.98410
6.55172 -2.85714 388.85226
7.24138 -2.85714 437.59527
7.93103 -2.85714 404.64582
8.62069 -2.85714 290.23225
9.31034 -2.85714 131.26693
10.00000 -2.85714 -16.70339
-10.00000 -1.42857 -912.46334
-9.31034 -1.42857 -895.44147
-8.62069 -1.42857 -902.30163
-7.93103 -1.42857 -877.49706
-7.24138 -1.42857 -784.11543
-6.55172 -1.42857 -621.92836
-5.86207 -1.42857 -427.50318
-5.17241 -1.42857 -256.32196
-4.48276 -1.42857 -155.65161
-3.79310 -1.42857 -141.43100
-3.10345 -1.42857 -190.47710
-2.41379 -1.42857 -251.82116
-1.72414 -1.42857 -271.63167
-1.03448 -1.42857 -219.53724
-0.34483 -1.42857 -103.47775
0.34483 -1.42857 34.17812
1.03448 -1.42857 137.35058
1.72414 -1.42857 163.67094
2.41379 -1.42857 105.19932
3.10345 -1.42857 -7.69287
3.79310 -1.42857 -121.17416
4.48276 -1.42857 -184.27576
5.17241 -1.42857 -173.81465
5.86207 -1.42857 -105.72971
6.55172 -1.42857 -27.28784
7.24138 -1.42857 6.02887
7.93103 -1.42857 -42.34688
8.62069 -1.42857 -172.18674
9.31034 -1.42857 -346.57836
10.00000 -1.42857 -509.97498
-10.00000 0.00000 -794.02288
-9.31034 0.00000 -792.42730
-8.62069 0.00000 -814.71375
-7.93103 0.00000 -805.33549
-7.24138 0.00000 -727.38015
-6.55172 0.00000 -580.61938
-5.86207 0.00000 -401.62049
-5.17241 0.00000 -245.86557
-4.48276 0.00000 -160.62151
-3.79310 0.00000 -161.82719
-3.10345 0.00000 -226.29959
-2.41379 0.00000 -303.06995
-1.72414 0.00000 -338.30675
-1.03448 0.00000 -301.63861
-0.34483 0.00000 -201.00542
0.34483 0.00000 -78.77585
1.03448 0.00000 8.97031
1.72414 0.00000 19.86438
2.41379 0.00000 -54.03353
3.10345 0.00000 -182.35202
3.79310 0.00000 -311.25960
4.48276 0.00000 -389.78750
5.17241 0.00000 -394.75268
5.86207 0.00000 -342.09404
6.55172 0.00000 -279.07847
7.24138 0.00000 -261.18805
7.93103 0.00000 -324.99010
8.62069 0.00000 -470.25626
9.31034 0.00000 -660.07416
10.00000 0.00000 -838.89708
-10.00000 1.42857 -448.59801
-9.31034 1.42857 -462.42873
-8.62069 1.42857 -500.14147
-7.93103 1.42857 -506.18950
-7.24138 1.42857 -443.66046
-6.55172 1.42857 -312.32599
-5.86207 1.42857 -148.75340
-5.17241 1.42857 -8.42477
-4.48276 1.42857 61.39300
-3.79310 1.42857 44.76102
-3.10345 1.42857 -35.13768
-2.41379 1.42857 -127.33433
-1.72414 1.42857 -177.99743
-1.03448 1.42857 -156.75559
-0.34483 1.42857 -71.54869
0.34483 1.42857 35.25459
1.03448 1.42857 107.57446
1.72414 1.42857 103.04223
2.41379 1.42857 13.71802
3.10345 1.42857 -130.02677
3.79310 1.42857 -274.36064
4.48276 1.42857 -368.31483
5.17241 1.42857 -388.70631
5.86207 1.42857 -351.47396
6.55172 1.42857 -303.88469
7.24138 1.42857 -301.42057
7.93103 1.42857 -380.64891
8.62069 1.42857 -541.34136
9.31034 1.42857 -746.58556
10.00000 1.42857 -940.83478
-10.00000 2.85714 61.17634
-9.31034 2.85714 31.91933
-8.62069 2.85714 -21.21972
-7.93103 2.85714 -42.69404
-7.24138 2.85714 4.40871
-6.55172 2.85714 120.31689
-5.86207 2.85714 268.46318
-5.17241 2.85714 393.36552
-4.48276 2.85714 447.75698
-3.79310 2.85714 415.69871
-3.10345 2.85714 320.37372
-2.41379 2.85714 212.75077
-1.72414 2.85714 146.66138
-1.03448 2.85714 152.47692
-0.34483 2.85714 222.25753
0.34483 2.85714 313.63451
1.03448 2.85714 370.52808
1.72414 2.85714 350.56956
2.41379 2.85714 245.81906
3.10345 2.85714 86.64797
3.79310 2.85714 -73.11220
4.48276 2.85714 -182.49268
5.17241 2.85714 -218.31046
5.86207 2.85714 -196.50441
6.55172 2.85714 -164.34143
7.24138 2.85714 -177.30360
7.93103 2.85714 -271.95824
8.62069 2.85714 -448.07699
9.31034 2.85714 -668.74748
10.00000 2.85714 -878.42299
-10.00000 4.28571 602.90293
-9.31034 4.28571 558.21962
-8.62069 4.28571 489.65428
-7.93103 4.28571 452.75366
-7.24138 4.28571 484.43012
-6.55172 4.28571 584.91200
-5.86207 4.28571 717.63200
-5.17241 4.28571 827.10804
-4.48276 4.28571 866.07321
-3.79310 4.28571 818.58864
-3.10345 4.28571 707.83735
-2.41379 4.28571 584.78811
-1.72414 4.28571 503.27242
-1.03448 4.28571 493.66167
-0.34483 4.28571 548.01598
0.34483 4.28571 623.96667
1.03448 4.28571 665.43394
1.72414 4.28571 630.04913
2.41379 4.28571 509.87233
3.10345 4.28571 335.27495
3.79310 4.28571 160.08849
4.48276 4.28571 35.28170
5.17241 4.28571 -15.96237
5.86207 4.28571 -9.58261
6.55172 4.28571 7.15407
7.24138 4.28571 -21.23440
7.93103 4.28571 -131.31533
8.62069 4.28571 -322.86037
9.31034 4.28571 -558.95717
10.00000 4.28571 -784.05897
-10.00000 5.71429 1091.75361
-9.31034 5.71429 1031.64400
-8.62069 5.71429 947.65237
-7.93103 5.71429 895.32545
-7.24138 5.71429 911.57561
-6.55172 5.71429 996.63120
-5.86207 5.71429 1113.92490
-5.17241 5.71429 1207.97464
-4.48276 5.71429 1231.51352
-3.79310 5.71429 1168.60266
-3.10345 5.71429 1042.42507
-2.41379 5.71429 903.94954
-1.72414 5.71429 807.00755
-1.03448 5.71429 781.97051
-0.34483 5.71429 820.89852
0.34483 5.71429 881.42291
1.03448 5.71429 907.46389
1.72414 5.71429 856.65278
2.41379 5.71429 721.04969
3.10345 5.71429 531.02601
3.79310 5.71429 340.41325
4.48276 5.71429 200.18018
5.17241 5.71429 133.50981
5.86207 5.71429 124.46327
6.55172 5.71429 125.77366
7.24138 5.71429 81.95889
7.93103 5.71429 -43.54833
8.62069 5.71429 -250.51967
9.31034 5.71429 -502.04276
10.00000 5.71429 -742.57086
-10.00000 7.14286 1565.64463
-9.31034 7.14286 1490.10873
-8.62069 7.14286 1390.69080
-7.93103 7.14286 1322.93759
-7.24138 7.14286 1323.76145
-6.55172 7.14286 1393.39075
-5.86207 7.14286 1495.25816
-5.17241 7.14286 1573.88160
-4.48276 7.14286 1581.99419
-3.79310 7.14286 1503.65703
-3.10345 7.14286 1362.05315
-2.41379 7.14286 1208.15132
-1.72414 7.14286 1095.78303
-1.03448 7.14286 1055.31970
-0.34483 7.14286 1078.82141
0.34483 7.14286 1123.91951
1.03448 7.14286 1134.53419
1.72414 7.14286 1068.29679
2.41379 7.14286 917.26740
3.10345 7.14286 711.81743
3.79310 7.14286 505.77837
4.48276 7.14286 350.11900
5.17241 7.14286 268.02234
5.86207 7.14286 243.54950
6.55172 7.14286 229.43360
7.24138 7.14286 170.19254
7.93103 7.14286 29.25901
8.62069 7.14286 -193.13862
9.31034 7.14286 -460.08800
10.00000 7.14286 -716.04240
-10.00000 8.57143 2151.63502
-9.31034 8.57143 2060.67283
-8.62069 8.57143 1945.82860
-7.93103 8.57143 1862.64910
-7.24138 8.57143 1848.04667
-6.55172 8.57143 1902.24966
-5.86207 8.57143 1988.69078
-5.17241 8.57143 2051.88793
-4.48276 8.57143 2044.57422
-3.79310 8.57143 1950.81076
-3.10345 8.57143 1793.78059
-2.41379 8.57143 1624.45246
-1.72414 8.57143 1496.65788
-1.03448 8.57143 1440.76825
-0.34483 8.57143 1448.84367
0.34483 8.57143 1478.51547
1.03448 8.57143 1473.70386
1.72414 8.57143 1392.04016
2.41379 8.57143 1225.58447
3.10345 8.57143 1004.70821
3.79310 8.57143 783.24286
4.48276 8.57143 612.15719
5.17241 8.57143 514.63423
5.86207 8.57143 474.73510
6.55172 8.57143 445.19290
7.24138 8.57143 370.52554
7.93103 8.57143 214.16573
8.62069 8.57143 -23.65820
9.31034 8.57143 -306.03388
10.00000 8.57143 -577.41457
-10.00000 10.00000 2953.32591
-9.31034 10.00000 2846.93742
-8.62069 10.00000 2716.66690
-7.93103 10.00000 2618.06110
-7.24138 10.00000 2588.03237
-6.55172 10.00000 2626.80907
-5.86207 10.00000 2697.82389
-5.17241 10.00000 2745.59475
-4.48276 10.00000 2722.85474
-3.79310 10.00000 2613.66499
-3.10345 10.00000 2441.20852
-2.41379 10.00000 2256.45410
-1.72414 10.00000 2113.23323
-1.03448 10.00000 2041.91730
-0.34483 10.00000 2034.56643
0.34483 10.00000 2048.81193
1.03448 10.00000 2028.57402
1.72414 10.00000 1931.48402
2.41379 10.00000 1749.60205
3.10345 10.00000 1513.29948
3.79310 10.00000 1276.40784
4.48276 10.00000 1089.89588
5.17241 10.00000 976.94662
5.86207 10.00000 921.62120
6.55172 10.00000 876.65270
7.24138 10.00000 786.55905
7.93103 10.00000 614.77293
8.62069 10.00000 361.52271
9.31034 10.00000 63.72074
10.00000 10.00000 -223.08625
